Question,Option1,Option2,Option3,Option4,CorrectAnswer,Tags
What is the capital of France?,London,Berlin,Paris,Madrid,Paris,geography,capitals
Which planet is closest to the Sun?,Venus,Mercury,Earth,Mars,Mercury,science,astronomy
What is 2 + 2?,3,4,5,6,4,math,basic
Who wrote Romeo and Juliet?,William Shakespeare,Charles Dickens,Jane Austen,Mark Twain,William Shakespeare,literature,shakespeare
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean,geography,oceans
What is the chemical symbol for gold?,Ag,Au,Fe,Cu,Au,science,chemistry
Which year did World War II end?,1943,1944,1945,1946,1945,history,world-war-2
What is the main component of the sun?,Liquid lava,Molten iron,Hot gases,Hydrogen gas,Hot gases,science,astronomy
How many sides does a hexagon have?,5,6,7,8,6,math,geometry
What is the largest mammal?,African Elephant,Blue Whale,Giraffe,Polar Bear,Blue Whale,science,biology 
